language,glottocode,feature,latitude,longitude
Kirghiz,kirg1245,No applicative construction,42,75
Koasati,koas1236,No applicative construction,34.8333333333,-85.1666666667
Kobon,kobo1249,No applicative construction,-5.16666666667,144.333333333
Kolami-Naiki,kola1242,No applicative construction,20,78.5
Korean,kore1280,benefactive and other objects; both bases,37.5,128
Koromfé,koro1298,No applicative construction,14.25,-0.916666666667
Lak,lakk1252,No applicative construction,42.1666666667,47.1666666667
Latvian,latv1249,No applicative construction,57,24
Lavukaleve,lavu1241,No applicative construction,-9.08333333333,159.2
Lezgian,lezg1247,No applicative construction,41.6666666667,47.8333333333
Macushi,macu1259,No applicative construction,4,-60
Makah,maka1318,No applicative construction,48.3333333333,-124.666666667
Mandarin Chinese,mand1415,No applicative construction,34,110
Mangarrayi,mang1381,No applicative construction,-14.6666666667,133.5
Maori,maor1246,No applicative construction,-40,176
Mapudungun,mapu1245,No applicative construction,-38,-72
Martuthunira,mart1255,No applicative construction,-20.8333333333,116.5
Mawng,maun1240,No applicative construction,-11.9166666667,133.5
Mezquital Otomi,mezq1235,No applicative construction,20.1666666667,-99.1666666667
Modern Greek,mode1248,No applicative construction,39,22
Modern Hebrew,hebr1245,No applicative construction,31.5,34.8333333333
Murle,murl1244,No applicative construction,6.5,33.5
Ngiyambaa,wang1291,No applicative construction,-31.75,145.5
Paama,paam1238,No applicative construction,-16.5,168.25
Paraguayan Guaraní,para1311,No applicative construction,-26,-56
Pirahã,pira1253,No applicative construction,-7,-62
Rama,rama1270,No applicative construction,11.75,-83.75
Rapanui,rapa1244,No applicative construction,-27.1166666667,-109.366666667
Russian,russ1263,No applicative construction,56,38
San Miguel El Grande Mixtec,sanm1295,No applicative construction,17.05,-97.5833333333
Sango,sang1328,No applicative construction,5,18
Sanumá,sanu1240,No applicative construction,4.5,-64.6666666667
Scottish Gaelic,scot1245,No applicative construction,57,-4
Slave,slav1253,No applicative construction,67,-125
Spanish,stan1288,No applicative construction,40,-4
Suena,suen1241,No applicative construction,-7.75,147.55
Supyire Senoufo,supy1237,No applicative construction,11.5,-5.58333333333
Tamil,tami1289,No applicative construction,11,78.5
Thai,thai1261,No applicative construction,16,101
Tsez,dido1241,No applicative construction,42.25,45.75
Turkish,nucl1301,No applicative construction,39,35
Tuvalu,tuva1244,No applicative construction,-8.5,179.166666667
Ukrainian,ukra1253,No applicative construction,49,33
Uzbek,uzbe1247,No applicative construction,39,66
Vietnamese,viet1252,No applicative construction,10.5,106.5
Warao,wara1303,No applicative construction,9.33333333333,-61.6666666667
Wardaman,ward1246,No applicative construction,-15.5,131
Wari',wari1268,No applicative construction,-11.3333333333,-65
Western Farsi,west2369,No applicative construction,32,54
Wichí Lhamtés Güisnay,wich1264,No applicative construction,-22.5,-62.5833333333
Yazgulyam,yazg1240,No applicative construction,38.5,71.5
Yoruba,yoru1245,No applicative construction,8,4.33333333333
Yurok,yuro1248,No applicative construction,41.3333333333,-124
Chiga,chig1238,Non-benefactive object; both bases,-0.916666666667,29.8333333333
Dyirbal,dyir1250,Non-benefactive object; both bases,-17.8333333333,145.583333333
East Makian,east2440,Non-benefactive object; both bases,0,127.5
Epena,epen1239,Non-benefactive object; both bases,3,-77
Koyraboro Senni Songhai,koyr1242,Non-benefactive object; both bases,16,0
South-Eastern Ju,juho1239,Non-benefactive object; both bases,-19,21
Tiwi,tiwi1244,Non-benefactive object; both bases,-11.5,131
Yagua,yagu1244,Non-benefactive object; both bases,-3.5,-72
Yidiñ,yidi1250,Non-benefactive object; both bases,-17,145.75
Fijian,fiji1243,benefactive and other objects; both bases,-17.8333333333,178
Wambayan,wamb1258,Non-benefactive object;  intransitive base only,-18.6666666667,135.75
Popti',popt1235,Benefactive and other objects;  transitive base only,15.6666666667,-91.6666666667
